epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6134,1.32771,15.9002,1.48828,0.50242,0.0041,0.00098,0.00032,1.7186,16.5482,2.15769,0.000414773,0.000414773,0.000414773
2,99.9524,1.65031,13.0211,1.75583,0.00037,0.35136,0.00131,0.00033,2.73775,7.3439,3.06019,0.000814977,0.000814977,0.000814977
3,147.102,1.99036,9.61023,2.03708,0.00028,0.37234,0.0003,8e-05,2.84297,3.35563,3.87089,0.00119868,0.00119868,0.00119868
4,192.506,2.23216,7.13823,2.30041,0.00071,0.31743,0.00196,0.00059,2.43452,3.48393,2.85373,0.00117575,0.00117575,0.00117575
5,236.944,2.07933,6.10416,2.16271,0.00179,0.0041,0.00092,0.00037,2.57014,3.80424,2.96069,0.001151,0.001151,0.001151
6,283.383,2.04984,4.97169,2.12488,0.00302,0.02459,0.00178,0.00074,2.49636,3.86082,2.88321,0.00112625,0.00112625,0.00112625
7,326.745,2.12783,4.74167,2.20138,0.0036,0.05726,0.00442,0.00279,2.34582,3.95777,2.61118,0.0011015,0.0011015,0.0011015
8,373.593,1.96815,4.54569,2.04972,0.00707,0.20263,0.00891,0.00324,2.32676,3.62639,2.61287,0.00107675,0.00107675,0.00107675
9,418.7,1.93359,4.45509,1.97762,0.00208,0.11136,0.00461,0.0017,2.38781,3.91888,2.61883,0.001052,0.001052,0.001052
10,463.802,1.99801,4.43637,2.08012,0.00839,0.01534,0.00529,0.00208,2.23083,4.12858,2.49705,0.00102725,0.00102725,0.00102725
11,510.217,1.85192,4.43712,1.94363,0.00106,0.21148,0.00357,0.00131,2.83911,4.30393,3.10976,0.0010025,0.0010025,0.0010025
12,554.141,1.85265,4.30045,1.93988,0.0055,0.31846,0.01034,0.00353,1.91944,3.76758,2.19371,0.00097775,0.00097775,0.00097775
13,601.156,1.80903,4.22852,1.85125,0.00457,0.18489,0.00673,0.00241,2.10866,3.92256,2.32539,0.000953,0.000953,0.000953
14,646.828,1.64534,4.05229,1.75088,0.00454,0.19204,0.02136,0.00851,1.98135,3.77366,2.23936,0.00092825,0.00092825,0.00092825
15,691.722,1.81803,4.2575,1.9378,0.00396,0.22166,0.01447,0.00613,2.08892,3.82516,2.31114,0.0009035,0.0009035,0.0009035
16,738.371,1.78846,4.16343,1.91743,0.00387,0.24776,0.02844,0.00882,1.96485,3.68071,2.22757,0.00087875,0.00087875,0.00087875
17,782.677,1.72532,4.14287,1.84162,0.00412,0.28026,0.02545,0.01042,1.89249,3.55889,2.09242,0.000854,0.000854,0.000854
18,830.031,1.74514,4.16264,1.86483,0.00366,0.22576,0.01835,0.00645,1.96154,3.72831,2.18274,0.00082925,0.00082925,0.00082925
19,874.409,1.74892,4.19289,1.88319,0.00546,0.24881,0.02417,0.01194,1.80659,3.58371,2.09559,0.0008045,0.0008045,0.0008045
20,919.842,1.59662,4.01483,1.71879,0.00629,0.26808,0.02633,0.0108,1.89883,3.70785,2.19663,0.00077975,0.00077975,0.00077975
21,966.106,1.56834,3.92104,1.71641,0.00343,0.25157,0.01611,0.00575,1.86913,3.80497,2.14999,0.000755,0.000755,0.000755
22,1009.13,1.68349,4.01702,1.80121,0.00504,0.26902,0.02288,0.01055,1.81691,3.59,2.11303,0.00073025,0.00073025,0.00073025
23,1056.52,1.59127,3.90021,1.71559,0.00543,0.30181,0.02926,0.01245,1.74302,3.49706,2.02037,0.0007055,0.0007055,0.0007055
24,1101.09,1.62632,3.87901,1.74019,0.00723,0.26111,0.02276,0.00933,1.7754,3.63566,2.03192,0.00068075,0.00068075,0.00068075
25,1147.06,1.64325,3.94195,1.75847,0.00749,0.21651,0.01834,0.00857,1.84599,3.69554,2.08357,0.000656,0.000656,0.000656
26,1192.95,1.5837,3.97862,1.75159,0.0078,0.2532,0.04335,0.02056,1.71449,3.60445,2.02223,0.00063125,0.00063125,0.00063125
27,1237.29,1.57812,3.80528,1.73274,0.01103,0.21586,0.04005,0.0176,1.67347,3.71599,1.98658,0.0006065,0.0006065,0.0006065
28,1285.99,1.48434,3.89175,1.68142,0.00672,0.40469,0.03759,0.02034,1.63703,3.35562,1.93145,0.00058175,0.00058175,0.00058175
29,1331.68,1.58732,3.9268,1.74135,0.00822,0.33257,0.05612,0.03002,1.65695,3.35147,1.96543,0.000557,0.000557,0.000557
30,1376.35,1.52031,3.77204,1.64294,0.00755,0.26825,0.06333,0.03556,1.70994,3.40353,1.99857,0.00053225,0.00053225,0.00053225
31,1424.04,1.50611,3.83538,1.67836,0.01082,0.29922,0.0694,0.03442,1.70653,3.44656,2.00906,0.0005075,0.0005075,0.0005075
32,1468.71,1.49506,3.75025,1.64816,0.01252,0.30332,0.06478,0.03209,1.65478,3.34497,1.95138,0.00048275,0.00048275,0.00048275
33,1514.84,1.53209,3.77983,1.69084,0.27094,0.17155,0.0426,0.02513,1.60828,3.33129,1.95586,0.000458,0.000458,0.000458
34,1562.01,1.50403,3.70539,1.66184,0.78419,0.11429,0.07095,0.03541,1.6243,3.39564,1.93704,0.00043325,0.00043325,0.00043325
35,1605.38,1.45793,3.7023,1.61034,0.78039,0.1,0.07245,0.03762,1.62502,3.36932,1.94664,0.0004085,0.0004085,0.0004085
36,1652.18,1.51907,3.79171,1.68969,0.79586,0.10714,0.0772,0.04231,1.58661,3.19086,1.92414,0.00038375,0.00038375,0.00038375
37,1698.92,1.52436,3.74146,1.69106,0.77878,0.11429,0.07414,0.04493,1.58626,3.17985,1.91917,0.000359,0.000359,0.000359
38,1743.47,1.38466,3.57523,1.53609,0.76794,0.12143,0.06316,0.03038,1.61205,3.24473,1.9366,0.00033425,0.00033425,0.00033425
